PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,OREB,OREB_CONTEST,OREB_UNCONTEST,OREB_CONTEST_PCT,OREB_CHANCES,OREB_CHANCE_PCT,OREB_CHANCE_DEFER,OREB_CHANCE_PCT_ADJ,SEASON,SEASON_TYPE,PT_MEASURE_TYPE,REBOUNDING_SCOPE
1630643,Jay Huff,1610612763,MEM,49,32,17,683.0,30,14,17,0.467,70,0.429,2,0.441,2024-25,Regular Season,Rebounding,offensive
1627759,Jaylen Brown,1610612738,BOS,63,46,17,2158.0,82,44,38,0.537,217,0.378,6,0.389,2024-25,Regular Season,Rebounding,offensive
1641740,Jaylen Clark,1610612750,MIN,26,18,8,414.0,26,13,13,0.5,52,0.5,1,0.51,2024-25,Regular Season,Rebounding,offensive
1641798,Jaylen Martin,1610612764,WAS,12,1,11,231.0,11,5,6,0.455,26,0.423,1,0.44,2024-25,Regular Season,Rebounding,offensive
1629669,Jaylen Nowell,1610612764,WAS,5,1,4,130.0,6,4,2,0.667,12,0.5,0,0.5,2024-25,Regular Season,Rebounding,offensive
1631301,Jaylen Sims,1610612766,CHA,4,0,4,77.0,3,0,3,0.0,9,0.333,0,0.333,2024-25,Regular Season,Rebounding,offensive
1642377,Jaylen Wells,1610612763,MEM,72,44,28,1879.0,87,37,50,0.425,183,0.475,14,0.515,2024-25,Regular Season,Rebounding,offensive
1631119,Jaylin Williams,1610612760,OKC,46,39,7,776.0,48,27,21,0.563,108,0.444,2,0.453,2024-25,Regular Season,Rebounding,offensive
1642281,Jaylon Tyson,1610612739,CLE,33,26,7,392.0,37,25,12,0.676,71,0.521,3,0.544,2024-25,Regular Season,Rebounding,offensive
1628369,Jayson Tatum,1610612738,BOS,71,52,19,2586.0,48,16,32,0.333,148,0.324,6,0.338,2024-25,Regular Season,Rebounding,offensive
1641789,Jazian Gortman,1610612742,DAL,4,2,2,33.0,1,0,1,0.0,4,0.25,1,0.333,2024-25,Regular Season,Rebounding,offensive
1630288,Jeff Dowtin Jr.,1610612755,PHI,30,6,24,508.0,12,3,9,0.25,32,0.375,3,0.414,2024-25,Regular Season,Rebounding,offensive
201145,Jeff Green,1610612745,HOU,24,16,8,348.0,11,3,8,0.273,26,0.423,3,0.478,2024-25,Regular Season,Rebounding,offensive
203924,Jerami Grant,1610612757,POR,44,20,24,1450.0,26,11,15,0.423,83,0.313,5,0.333,2024-25,Regular Season,Rebounding,offensive
1630526,Jeremiah Robinson-Earl,1610612740,NOP,63,17,46,1229.0,110,62,48,0.564,245,0.449,11,0.47,2024-25,Regular Season,Rebounding,offensive
1631110,Jeremy Sochan,1610612759,SAS,53,21,32,1338.0,127,87,39,0.685,284,0.447,10,0.464,2024-25,Regular Season,Rebounding,offensive
1630579,Jericho Sims,1610612749,MIL,45,30,15,608.0,71,48,23,0.676,160,0.444,3,0.452,2024-25,Regular Season,Rebounding,offensive
1641724,Jett Howard,1610612753,ORL,36,16,20,499.0,20,10,10,0.5,38,0.526,0,0.526,2024-25,Regular Season,Rebounding,offensive
1628975,Jevon Carter,1610612741,CHI,21,8,13,254.0,4,0,4,0.0,14,0.286,0,0.286,2024-25,Regular Season,Rebounding,offensive
202710,Jimmy Butler III,1610612744,GSW,54,36,18,1739.0,125,71,54,0.568,255,0.49,12,0.514,2024-25,Regular Season,Rebounding,offensive
1629111,Jock Landale,1610612745,HOU,39,23,16,485.0,56,33,23,0.589,147,0.381,4,0.392,2024-25,Regular Season,Rebounding,offensive
204060,Joe Ingles,1610612750,MIN,7,4,3,76.0,2,0,2,0.0,3,0.667,0,0.667,2024-25,Regular Season,Rebounding,offensive
203954,Joel Embiid,1610612755,PHI,19,8,11,574.0,36,25,11,0.694,65,0.554,0,0.554,2024-25,Regular Season,Rebounding,offensive
1628381,John Collins,1610612762,UTA,40,12,28,1220.0,89,61,29,0.685,232,0.384,4,0.39,2024-25,Regular Season,Rebounding,offensive
1629723,John Konchar,1610612763,MEM,38,22,16,537.0,37,18,19,0.486,91,0.407,5,0.43,2024-25,Regular Season,Rebounding,offensive
1631098,Johnny Davis,1610612764,WAS,19,1,18,181.0,10,6,4,0.6,27,0.37,0,0.37,2024-25,Regular Season,Rebounding,offensive
1642277,Johnny Furphy,1610612754,IND,24,10,14,292.0,23,16,7,0.696,51,0.451,1,0.46,2024-25,Regular Season,Rebounding,offensive
1630548,Johnny Juzang,1610612762,UTA,58,12,46,1198.0,42,13,29,0.31,116,0.362,4,0.375,2024-25,Regular Season,Rebounding,offensive
202685,Jonas Valančiūnas,1610612758,SAC,81,23,58,1524.0,190,138,51,0.726,415,0.458,7,0.466,2024-25,Regular Season,Rebounding,offensive
