PLAYER_ID,PLAYER_NAME,POSITION,TEAM_ID,TEAM_ABBREVIATION,AGE,PLAYER_HEIGHT,PLAYER_HEIGHT_INCHES,PLAYER_WEIGHT,COLLEGE,COUNTRY,DRAFT_YEAR,DRAFT_ROUND,DRAFT_NUMBER,GP,PTS,REB,AST,NET_RATING,OREB_PCT,DREB_PCT,USG_PCT,TS_PCT,AST_PCT,SEASON,SEASON_TYPE
200768,Kyle Lowry,PG,1610612755,PHI,39.0,6-0,72,196.0,Villanova,USA,2006,1,24,35,3.9,1.9,2.7,-5.8,0.016,0.086,0.1,0.525,0.206,2024-25,Regular Season
1630283,Kylor Kelley,C,1610612747,LAL,27.0,7-0,84,215.0,Oregon State,USA,Undrafted,Undrafted,Undrafted,11,3.1,3.5,0.5,-29.1,0.079,0.194,0.097,0.644,0.056,2024-25,Regular Season
202681,Kyrie Irving,SG,1610612742,DAL,33.0,6-2,74,195.0,Duke,Australia,2011,1,1,50,24.7,4.8,4.6,2.6,0.033,0.093,0.264,0.594,0.198,2024-25,Regular Season
1642273,Kyshawn George,SG,1610612764,WAS,21.0,6-8,80,200.0,Miami,Switzerland,2024,1,24,68,8.7,4.2,2.5,-10.1,0.025,0.122,0.156,0.503,0.133,2024-25,Regular Season
1630163,LaMelo Ball,PG,1610612766,CHA,23.0,6-7,79,180.0,,USA,2020,1,3,47,25.2,4.9,7.4,-3.9,0.028,0.121,0.342,0.536,0.39,2024-25,Regular Season
1630205,Lamar Stevens,PF,1610612763,MEM,27.0,6-7,79,230.0,Penn State,USA,Undrafted,Undrafted,Undrafted,17,4.4,2.2,0.5,26.4,0.027,0.184,0.21,0.545,0.063,2024-25,Regular Season
1629013,Landry Shamet,SG,1610612752,NYK,28.0,6-4,76,190.0,Wichita State,USA,2018,1,26,50,5.7,1.2,0.5,5.1,0.014,0.064,0.143,0.601,0.049,2024-25,Regular Season
1626204,Larry Nance Jr.,PF,1610612737,ATL,32.0,6-8,80,245.0,Wyoming,USA,2015,1,27,24,8.5,4.3,1.6,-9.0,0.046,0.174,0.155,0.632,0.125,2024-25,Regular Season
1628374,Lauri Markkanen,PF,1610612762,UTA,28.0,7-0,84,240.0,Arizona,Finland,2017,1,7,47,19.0,5.9,1.5,-6.1,0.046,0.134,0.231,0.571,0.074,2024-25,Regular Season
2544,LeBron James,SF,1610612747,LAL,40.0,6-9,81,250.0,,USA,2003,1,1,70,24.4,7.8,8.2,-1.3,0.031,0.187,0.291,0.604,0.395,2024-25,Regular Season
1631159,Leonard Miller,SF,1610612750,MIN,21.0,6-10,82,220.0,,Canada,2023,2,33,13,1.5,0.8,0.0,-19.4,0.073,0.229,0.239,0.54,0.0,2024-25,Regular Season
1631311,Lester Quinones,SG,1610612740,NOP,24.0,6-4,76,208.0,Memphis,USA,Undrafted,Undrafted,Undrafted,13,6.6,1.5,1.8,-5.9,0.02,0.076,0.213,0.514,0.198,2024-25,Regular Season
1641857,Liam Robbins,C,1610612749,MIL,25.0,7-0,84,250.0,Vanderbilt,USA,Undrafted,Undrafted,Undrafted,13,0.7,0.9,0.2,-5.3,0.111,0.085,0.128,0.363,0.056,2024-25,Regular Season
1630322,Lindy Waters III,SG,1610612765,DET,27.0,6-6,78,210.0,Oklahoma State,USA,Undrafted,Undrafted,Undrafted,52,4.9,2.1,1.0,1.4,0.023,0.116,0.145,0.504,0.092,2024-25,Regular Season
1629022,Lonnie Walker IV,SG,1610612755,PHI,26.0,6-4,76,204.0,Miami,USA,2018,1,18,20,12.4,3.2,2.5,-14.1,0.012,0.117,0.214,0.548,0.167,2024-25,Regular Season
1628366,Lonzo Ball,PG,1610612741,CHI,27.0,6-6,78,190.0,UCLA,USA,2017,1,2,35,7.6,3.4,3.3,5.5,0.029,0.106,0.152,0.524,0.187,2024-25,Regular Season
1629652,Luguentz Dort,SF,1610612760,OKC,26.0,6-4,76,220.0,Arizona State,Canada,Undrafted,Undrafted,Undrafted,71,10.1,4.1,1.6,13.1,0.041,0.093,0.133,0.586,0.067,2024-25,Regular Season
1629029,Luka Dončić,PG,1610612747,LAL,26.0,6-6,78,230.0,,Slovenia,2018,1,3,50,28.2,8.2,7.7,9.1,0.023,0.198,0.328,0.587,0.342,2024-25,Regular Season
1630568,Luka Garza,C,1610612750,MIN,26.0,6-10,82,243.0,Iowa,USA,2021,2,52,39,3.5,1.4,0.3,0.4,0.138,0.103,0.241,0.573,0.082,2024-25,Regular Season
1628379,Luke Kennard,SG,1610612763,MEM,29.0,6-5,77,206.0,Duke,USA,2017,1,12,65,8.9,2.8,3.3,3.1,0.024,0.094,0.14,0.631,0.179,2024-25,Regular Season
1628436,Luke Kornet,C,1610612738,BOS,29.0,7-1,85,250.0,Vanderbilt,USA,Undrafted,Undrafted,Undrafted,73,6.0,5.3,1.6,14.9,0.134,0.139,0.111,0.683,0.115,2024-25,Regular Season
