PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,CATCH_SHOOT_FGM,CATCH_SHOOT_FGA,CATCH_SHOOT_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG3M,CATCH_SHOOT_FG3A,CATCH_SHOOT_FG3_PCT,CATCH_SHOOT_EFG_PCT,SEASON,SEASON_TYPE,PT_MEASURE_TYPE
1641763,Julian Phillips,1610612741,CHI,40,20,20,323.0,13,40,0.325,38,12.0,37.0,0.324,0.475,2023-24,Regular Season,CatchShoot
1631124,Julian Strawther,1610612743,DEN,50,34,16,545.0,34,114,0.298,102,34.0,114.0,0.298,0.447,2023-24,Regular Season,CatchShoot
203944,Julius Randle,1610612752,NYK,46,29,17,1630.0,52,149,0.349,155,51.0,144.0,0.354,0.52,2023-24,Regular Season,CatchShoot
1630551,Justin Champagnie,1610612764,WAS,15,3,12,235.0,11,39,0.282,33,11.0,39.0,0.282,0.423,2023-24,Regular Season,CatchShoot
203200,Justin Holiday,1610612743,DEN,58,38,20,862.0,50,123,0.407,148,48.0,121.0,0.397,0.602,2023-24,Regular Season,CatchShoot
1628382,Justin Jackson,1610612750,MIN,2,2,0,1.0,0,0,nan,0,nan,nan,nan,nan,2023-24,Regular Season,CatchShoot
1631303,Justin Minaya,1610612757,POR,34,3,31,381.0,10,46,0.217,30,10.0,46.0,0.217,0.326,2023-24,Regular Season,CatchShoot
203994,Jusuf Nurkić,1610612756,PHX,76,48,28,2078.0,26,95,0.274,74,22.0,85.0,0.259,0.389,2023-24,Regular Season,CatchShoot
1630231,KJ Martin,1610612755,PHI,60,33,27,746.0,8,28,0.286,24,8.0,28.0,0.286,0.429,2023-24,Regular Season,CatchShoot
1629232,Kaiser Gates,1610612740,NOP,1,0,1,7.0,0,2,0.0,0,0.0,2.0,0.0,0.0,2023-24,Regular Season,CatchShoot
1626157,Karl-Anthony Towns,1610612750,MIN,62,42,20,2026.0,122,288,0.424,362,118.0,276.0,0.428,0.628,2023-24,Regular Season,CatchShoot
202695,Kawhi Leonard,1610612746,LAC,68,44,24,2330.0,96,225,0.427,270,78.0,183.0,0.426,0.6,2023-24,Regular Season,CatchShoot
