PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,DRIVES,DRIVE_FGM,DRIVE_FGA,DRIVE_FG_PCT,DRIVE_FTM,DRIVE_FTA,DRIVE_FT_PCT,DRIVE_PTS,DRIVE_PTS_PCT,DRIVE_PASSES,DRIVE_PASSES_PCT,DRIVE_AST,DRIVE_AST_PCT,DRIVE_TOV,DRIVE_TOV_PCT,DRIVE_PF,DRIVE_PF_PCT,SEASON,SEASON_TYPE,PT_MEASURE_TYPE
1631216,Caleb Houstan,1610612737,ATL,18,12,6,75.0,4,0,1,0.0,0,0,0.0,0,0.0,2,0.5,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,Drives
1631126,Caleb Love,1610612757,POR,47,23,24,1009.0,277,57,116,0.491,18,24,0.75,132,0.477,125,0.451,36,0.13,22,0.079,12,0.043,2025-26,Regular Season,Drives
1628997,Caleb Martin,1610612742,DAL,58,20,38,856.0,159,23,57,0.404,15,29,0.517,63,0.396,67,0.421,19,0.119,14,0.088,15,0.094,2025-26,Regular Season,Drives
1642353,Cam Christie,1610612746,LAC,51,24,27,461.0,82,16,41,0.39,19,22,0.864,53,0.646,25,0.305,5,0.061,3,0.037,11,0.134,2025-26,Regular Season,Drives
1642285,Cam Spencer,1610612763,MEM,71,23,48,1694.0,378,59,120,0.492,36,38,0.947,161,0.426,214,0.566,65,0.172,15,0.04,19,0.05,2025-26,Regular Season,Drives
1630560,Cam Thomas,1610612749,MIL,42,12,30,881.0,356,87,185,0.47,62,74,0.838,244,0.685,102,0.287,31,0.087,20,0.056,37,0.104,2025-26,Regular Season,Drives
1641715,Cam Whitmore,1610612764,WAS,21,3,18,354.0,47,12,32,0.375,3,8,0.375,27,0.574,7,0.149,3,0.064,3,0.064,4,0.085,2025-26,Regular Season,Drives
1629661,Cameron Johnson,1610612743,DEN,51,34,17,1541.0,178,26,69,0.377,18,26,0.692,74,0.416,81,0.455,22,0.124,11,0.062,13,0.073,2025-26,Regular Season,Drives
1626166,Cameron Payne,1610612755,PHI,21,12,9,366.0,73,18,42,0.429,14,16,0.875,50,0.685,18,0.247,7,0.096,2,0.027,8,0.11,2025-26,Regular Season,Drives
1627747,Caris LeVert,1610612765,DET,56,40,16,1085.0,296,48,113,0.425,10,14,0.714,109,0.368,144,0.486,45,0.152,22,0.074,7,0.024,2025-26,Regular Season,Drives
1642868,Carter Bryant,1610612759,SAS,66,53,13,720.0,66,8,25,0.32,6,10,0.6,22,0.333,26,0.394,4,0.061,8,0.121,5,0.076,2025-26,Regular Season,Drives
1641717,Cason Wallace,1610612760,OKC,74,58,16,1980.0,405,62,159,0.39,14,16,0.875,140,0.346,200,0.494,42,0.104,23,0.057,8,0.02,2025-26,Regular Season,Drives
1642907,Cedric Coward,1610612763,MEM,60,20,40,1559.0,319,80,169,0.473,43,54,0.796,207,0.649,93,0.292,24,0.075,21,0.066,27,0.085,2025-26,Regular Season,Drives
1643052,Chaney Johnson,1610612751,BKN,14,2,12,282.0,29,10,14,0.714,5,8,0.625,25,0.862,7,0.241,2,0.069,4,0.138,4,0.138,2025-26,Regular Season,Drives
1629646,Charles Bassey,1610612738,BOS,8,3,5,52.0,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,Drives
1642404,Chaz Lanier,1610612765,DET,29,24,5,230.0,11,2,6,0.333,0,0,0.0,4,0.364,5,0.455,2,0.182,0,0.0,0,0.0,2025-26,Regular Season,Drives
1631096,Chet Holmgren,1610612760,OKC,66,53,13,1922.0,322,71,141,0.504,63,78,0.808,209,0.649,110,0.342,27,0.084,22,0.068,39,0.121,2025-26,Regular Season,Drives
1628449,Chris Boucher,1610612738,BOS,9,4,5,94.0,1,0,0,0.0,0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,Drives
1641753,Chris Livingston,1610612739,CLE,3,2,1,17.0,2,2,2,1.0,0,0,0.0,4,2.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,Drives
1643024,Chris Mañon,1610612747,LAL,6,2,4,25.0,3,0,0,0.0,0,0,0.0,0,0.0,2,0.667,0,0.0,1,0.333,0,0.0,2025-26,Regular Season,Drives
101108,Chris Paul,1610612746,LAC,16,4,12,228.0,31,6,16,0.375,0,0,0.0,12,0.387,11,0.355,3,0.097,3,0.097,0,0.0,2025-26,Regular Season,Drives
1642959,Chris Youngblood,1610612757,POR,33,28,5,183.0,9,0,4,0.0,2,2,1.0,2,0.222,4,0.444,1,0.111,0,0.0,1,0.111,2025-26,Regular Season,Drives
1631128,Christian Braun,1610612743,DEN,41,26,15,1294.0,77,12,25,0.48,7,10,0.7,31,0.403,40,0.519,10,0.13,5,0.065,5,0.065,2025-26,Regular Season,Drives
1631132,Christian Koloko,1610612737,ATL,26,16,10,335.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,Drives
1642935,Chucky Hepburn,1610612761,TOR,2,0,2,13.0,4,0,1,0.0,0,0,0.0,0,0.0,2,0.5,0,0.0,1,0.25,0,0.0,2025-26,Regular Season,Drives
203991,Clint Capela,1610612745,HOU,70,43,27,868.0,21,5,13,0.385,1,2,0.5,11,0.524,5,0.238,0,0.0,2,0.095,1,0.048,2025-26,Regular Season,Drives
1629632,Coby White,1610612766,CHA,47,27,20,1198.0,548,102,195,0.523,79,92,0.859,294,0.536,251,0.458,63,0.115,39,0.071,47,0.086,2025-26,Regular Season,Drives
1628998,Cody Martin,1610612754,IND,4,0,4,55.0,7,0,1,0.0,2,4,0.5,2,0.286,3,0.429,0,0.0,1,0.143,2,0.286,2025-26,Regular Season,Drives
1642262,Cody Williams,1610612762,UTA,63,15,48,1487.0,219,52,114,0.456,29,38,0.763,133,0.607,69,0.315,15,0.068,13,0.059,19,0.087,2025-26,Regular Season,Drives
1641732,Colby Jones,1610612765,DET,1,0,1,7.0,1,1,1,1.0,0,0,0.0,2,2.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,Drives
1630175,Cole Anthony,1610612749,MIL,35,12,23,527.0,264,58,119,0.487,4,4,1.0,122,0.462,125,0.473,27,0.102,11,0.042,2,0.008,2025-26,Regular Season,Drives
1630658,Colin Castleton,1610612753,ORL,1,0,1,10.0,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,Drives
1631221,Collin Gillespie,1610612756,PHX,76,41,35,2191.0,470,69,153,0.451,22,26,0.846,168,0.357,265,0.564,69,0.147,28,0.06,13,0.028,2025-26,Regular Season,Drives
1642867,Collin Murray-Boyles,1610612761,TOR,53,28,25,1164.0,60,13,24,0.542,11,14,0.786,37,0.617,19,0.317,2,0.033,7,0.117,7,0.117,2025-26,Regular Season,Drives
1629012,Collin Sexton,1610612741,CHI,63,23,40,1463.0,580,119,230,0.517,101,116,0.871,359,0.619,218,0.376,55,0.095,47,0.081,60,0.103,2025-26,Regular Season,Drives
1642843,Cooper Flagg,1610612742,DAL,65,20,45,2197.0,822,230,471,0.488,106,126,0.841,577,0.702,223,0.271,64,0.078,44,0.054,64,0.078,2025-26,Regular Season,Drives
1630557,Corey Kispert,1610612737,ATL,55,26,29,1035.0,166,46,76,0.605,22,28,0.786,118,0.711,67,0.404,17,0.102,7,0.042,14,0.084,2025-26,Regular Season,Drives
1642504,Cormac Ryan,1610612749,MIL,6,0,6,111.0,17,5,7,0.714,0,0,0.0,12,0.706,8,0.471,2,0.118,1,0.059,1,0.059,2025-26,Regular Season,Drives
1641854,Craig Porter Jr.,1610612739,CLE,60,40,20,1054.0,250,43,95,0.453,5,13,0.385,94,0.376,121,0.484,34,0.136,17,0.068,7,0.028,2025-26,Regular Season,Drives
1642938,Curtis Jones,1610612743,DEN,7,5,2,33.0,6,1,2,0.5,0,0,0.0,2,0.333,3,0.5,1,0.167,1,0.167,0,0.0,2025-26,Regular Season,Drives
1626156,D'Angelo Russell,1610612764,WAS,26,9,17,495.0,150,39,75,0.52,22,28,0.786,100,0.667,49,0.327,16,0.107,7,0.047,14,0.093,2025-26,Regular Season,Drives
1629610,DaQuan Jeffries,1610612758,SAC,3,0,3,60.0,7,3,5,0.6,2,2,1.0,8,1.143,1,0.143,0,0.0,0,0.0,1,0.143,2025-26,Regular Season,Drives
1641747,DaRon Holmes II,1610612743,DEN,22,14,8,200.0,14,3,4,0.75,0,0,0.0,6,0.429,9,0.643,5,0.357,0,0.0,0,0.0,2025-26,Regular Season,Drives
1631342,Daeqwon Plowden,1610612758,SAC,28,8,20,723.0,64,9,23,0.391,8,8,1.0,28,0.438,28,0.438,6,0.094,8,0.125,4,0.063,2025-26,Regular Season,Drives
1630625,Dalano Banton,1610612738,BOS,5,3,2,25.0,12,3,8,0.375,2,2,1.0,8,0.667,2,0.167,0,0.0,1,0.083,1,0.083,2025-26,Regular Season,Drives
1631207,Dalen Terry,1610612755,PHI,47,21,26,547.0,129,19,44,0.432,2,6,0.333,42,0.326,70,0.543,16,0.124,7,0.054,3,0.023,2025-26,Regular Season,Drives
1642261,Dalton Knecht,1610612747,LAL,50,31,19,515.0,62,21,38,0.553,5,8,0.625,48,0.774,15,0.242,0,0.0,4,0.065,4,0.065,2025-26,Regular Season,Drives
1629655,Daniel Gafford,1610612742,DAL,54,11,43,1175.0,50,16,35,0.457,9,14,0.643,42,0.84,4,0.08,0,0.0,3,0.06,7,0.14,2025-26,Regular Season,Drives
1642450,Daniss Jenkins,1610612765,DET,67,50,17,1333.0,479,77,197,0.391,38,45,0.844,201,0.42,220,0.459,55,0.115,26,0.054,25,0.052,2025-26,Regular Season,Drives
1642874,Danny Wolf,1610612751,BKN,57,14,43,1187.0,238,56,124,0.452,30,38,0.789,145,0.609,74,0.311,22,0.092,19,0.08,19,0.08,2025-26,Regular Season,Drives
