PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,TOUCHES,PAINT_TOUCHES,PAINT_TOUCH_FGM,PAINT_TOUCH_FGA,PAINT_TOUCH_FG_PCT,PAINT_TOUCH_FTM,PAINT_TOUCH_FTA,PAINT_TOUCH_FT_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_PTS_PCT,PAINT_TOUCH_PASSES,PAINT_TOUCH_PASSES_PCT,PAINT_TOUCH_AST,PAINT_TOUCH_AST_PCT,PAINT_TOUCH_TOV,PAINT_TOUCH_TOV_PCT,PAINT_TOUCH_FOULS,PAINT_TOUCH_FOULS_PCT,SEASON,SEASON_TYPE,PT_MEASURE_TYPE
1631205,Buddy Boeheim,1610612760,OKC,4,2,2,15.0,12,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PaintTouch
1627741,Buddy Hield,1610612737,ATL,50,25,25,798.0,1450,44,18,27,0.667,4,6,0.667,40,0.909,13,0.295,2,0.045,1,0.023,3,0.068,2025-26,Regular Season,PaintTouch
1643047,CJ Huntley,1610612756,PHX,2,2,0,7.0,5,2,1,1,1.0,0,0,0.0,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PaintTouch
203468,CJ McCollum,1610612737,ATL,73,36,37,2173.0,4183,50,13,16,0.813,5,6,0.833,32,0.64,28,0.56,7,0.14,2,0.04,3,0.06,2025-26,Regular Season,PaintTouch
1630595,Cade Cunningham,1610612765,DET,61,44,17,2096.0,5502,89,25,45,0.556,19,22,0.864,70,0.787,28,0.315,10,0.112,3,0.034,11,0.124,2025-26,Regular Season,PaintTouch
1631216,Caleb Houstan,1610612737,ATL,18,12,6,75.0,94,5,1,2,0.5,0,0,0.0,2,0.4,3,0.6,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PaintTouch
1631126,Caleb Love,1610612757,POR,47,23,24,1009.0,1842,13,5,6,0.833,2,2,1.0,12,0.923,6,0.462,0,0.0,0,0.0,1,0.077,2025-26,Regular Season,PaintTouch
1628997,Caleb Martin,1610612742,DAL,58,20,38,856.0,1040,31,5,8,0.625,0,0,0.0,10,0.323,19,0.613,2,0.065,3,0.097,0,0.0,2025-26,Regular Season,PaintTouch
1642353,Cam Christie,1610612746,LAC,51,24,27,461.0,689,31,9,18,0.5,5,6,0.833,23,0.742,9,0.29,0,0.0,0,0.0,3,0.097,2025-26,Regular Season,PaintTouch
1642285,Cam Spencer,1610612763,MEM,71,23,48,1694.0,3760,51,12,18,0.667,2,2,1.0,27,0.529,25,0.49,9,0.176,6,0.118,1,0.02,2025-26,Regular Season,PaintTouch
1630560,Cam Thomas,1610612749,MIL,42,12,30,881.0,1721,15,6,10,0.6,1,2,0.5,14,0.933,1,0.067,0,0.0,1,0.067,1,0.067,2025-26,Regular Season,PaintTouch
1641715,Cam Whitmore,1610612764,WAS,21,3,18,354.0,432,48,22,36,0.611,3,4,0.75,48,1.0,5,0.104,0,0.0,3,0.063,2,0.042,2025-26,Regular Season,PaintTouch
1629661,Cameron Johnson,1610612743,DEN,51,34,17,1541.0,1903,50,22,27,0.815,1,2,0.5,46,0.92,19,0.38,1,0.02,1,0.02,1,0.02,2025-26,Regular Season,PaintTouch
1626166,Cameron Payne,1610612755,PHI,21,12,9,366.0,872,3,1,2,0.5,0,0,0.0,2,0.667,1,0.333,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PaintTouch
1627747,Caris LeVert,1610612765,DET,56,40,16,1085.0,1956,44,11,17,0.647,6,8,0.75,29,0.659,18,0.409,2,0.045,3,0.068,3,0.068,2025-26,Regular Season,PaintTouch
1642868,Carter Bryant,1610612759,SAS,66,53,13,720.0,872,53,21,28,0.75,4,6,0.667,46,0.868,19,0.358,1,0.019,1,0.019,3,0.057,2025-26,Regular Season,PaintTouch
