PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,DRIBBLE_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT,SEASON,SEASON_TYPE
1642868,"Bryant, Carter",3,66,19,2 Dribbles,0.09,8,21,0.381,0.405,0.082,7,19,0.368,0.009,1,2,0.5,2025-26,Regular Season
1642868,"Bryant, Carter",4,66,18,3-6 Dribbles,0.107,9,25,0.36,0.38,0.094,8,22,0.364,0.013,1,3,0.333,2025-26,Regular Season
1642868,"Bryant, Carter",5,66,1,7+ Dribbles,0.004,1,1,1.0,1.0,0.004,1,1,1.0,0.0,0,0,,2025-26,Regular Season
1641717,"Wallace, Cason",1,74,73,0 Dribbles,0.504,119,284,0.419,0.562,0.096,38,54,0.704,0.409,81,230,0.352,2025-26,Regular Season
1641717,"Wallace, Cason",2,74,33,1 Dribble,0.071,23,40,0.575,0.675,0.034,15,19,0.789,0.037,8,21,0.381,2025-26,Regular Season
1641717,"Wallace, Cason",3,74,36,2 Dribbles,0.085,27,48,0.563,0.583,0.076,25,43,0.581,0.009,2,5,0.4,2025-26,Regular Season
1641717,"Wallace, Cason",4,74,68,3-6 Dribbles,0.201,48,113,0.425,0.429,0.185,47,104,0.452,0.016,1,9,0.111,2025-26,Regular Season
1641717,"Wallace, Cason",5,74,39,7+ Dribbles,0.139,27,78,0.346,0.365,0.121,24,68,0.353,0.018,3,10,0.3,2025-26,Regular Season
1642907,"Coward, Cedric",1,60,58,0 Dribbles,0.452,123,277,0.444,0.56,0.131,59,80,0.738,0.321,64,197,0.325,2025-26,Regular Season
1642907,"Coward, Cedric",2,60,44,1 Dribble,0.111,30,68,0.441,0.485,0.075,24,46,0.522,0.036,6,22,0.273,2025-26,Regular Season
1642907,"Coward, Cedric",3,60,41,2 Dribbles,0.121,39,74,0.527,0.568,0.101,33,62,0.532,0.02,6,12,0.5,2025-26,Regular Season
1642907,"Coward, Cedric",4,60,49,3-6 Dribbles,0.22,67,135,0.496,0.526,0.194,59,119,0.496,0.026,8,16,0.5,2025-26,Regular Season
1642907,"Coward, Cedric",5,60,34,7+ Dribbles,0.096,25,59,0.424,0.432,0.08,24,49,0.49,0.016,1,10,0.1,2025-26,Regular Season
1643052,"Johnson, Chaney",1,14,12,0 Dribbles,0.585,18,38,0.474,0.539,0.262,13,17,0.765,0.323,5,21,0.238,2025-26,Regular Season
1643052,"Johnson, Chaney",2,14,6,1 Dribble,0.108,2,7,0.286,0.286,0.077,2,5,0.4,0.031,0,2,0.0,2025-26,Regular Season
1643052,"Johnson, Chaney",3,14,7,2 Dribbles,0.138,7,9,0.778,0.833,0.123,6,8,0.75,0.015,1,1,1.0,2025-26,Regular Season
1643052,"Johnson, Chaney",4,14,5,3-6 Dribbles,0.123,5,8,0.625,0.688,0.108,4,7,0.571,0.015,1,1,1.0,2025-26,Regular Season
1643052,"Johnson, Chaney",5,14,3,7+ Dribbles,0.046,3,3,1.0,1.0,0.046,3,3,1.0,0.0,0,0,,2025-26,Regular Season
1629646,"Bassey, Charles",1,8,3,0 Dribbles,0.75,2,3,0.667,0.667,0.75,2,3,0.667,0.0,0,0,,2025-26,Regular Season
1629646,"Bassey, Charles",2,8,1,1 Dribble,0.25,1,1,1.0,1.0,0.25,1,1,1.0,0.0,0,0,,2025-26,Regular Season
1642404,"Lanier, Chaz",1,29,22,0 Dribbles,0.753,21,58,0.362,0.517,0.052,3,4,0.75,0.701,18,54,0.333,2025-26,Regular Season
1642404,"Lanier, Chaz",2,29,6,1 Dribble,0.091,1,7,0.143,0.143,0.065,1,5,0.2,0.026,0,2,0.0,2025-26,Regular Season
1642404,"Lanier, Chaz",3,29,3,2 Dribbles,0.039,1,3,0.333,0.333,0.039,1,3,0.333,0.0,0,0,,2025-26,Regular Season
1642404,"Lanier, Chaz",4,29,8,3-6 Dribbles,0.104,2,8,0.25,0.25,0.065,2,5,0.4,0.039,0,3,0.0,2025-26,Regular Season
1642404,"Lanier, Chaz",5,29,1,7+ Dribbles,0.013,0,1,0.0,0.0,0.013,0,1,0.0,0.0,0,0,,2025-26,Regular Season
1631096,"Holmgren, Chet",1,66,66,0 Dribbles,0.588,249,437,0.57,0.65,0.322,179,239,0.749,0.266,70,198,0.354,2025-26,Regular Season
1631096,"Holmgren, Chet",2,66,53,1 Dribble,0.136,58,101,0.574,0.599,0.116,53,86,0.616,0.02,5,15,0.333,2025-26,Regular Season
1631096,"Holmgren, Chet",3,66,45,2 Dribbles,0.102,38,76,0.5,0.513,0.097,36,72,0.5,0.005,2,4,0.5,2025-26,Regular Season
1631096,"Holmgren, Chet",4,66,53,3-6 Dribbles,0.143,51,106,0.481,0.491,0.127,49,94,0.521,0.016,2,12,0.167,2025-26,Regular Season
1631096,"Holmgren, Chet",5,66,19,7+ Dribbles,0.031,12,23,0.522,0.522,0.03,12,22,0.545,0.001,0,1,0.0,2025-26,Regular Season
1629632,"White, Coby",1,47,17,0 Dribbles,0.282,24,55,0.436,0.618,0.026,4,5,0.8,0.256,20,50,0.4,2025-26,Regular Season
1629632,"White, Coby",2,47,9,1 Dribble,0.072,3,14,0.214,0.286,0.031,1,6,0.167,0.041,2,8,0.25,2025-26,Regular Season
1629632,"White, Coby",3,47,10,2 Dribbles,0.092,10,18,0.556,0.611,0.062,8,12,0.667,0.031,2,6,0.333,2025-26,Regular Season
1629632,"White, Coby",4,47,17,3-6 Dribbles,0.323,29,63,0.46,0.532,0.205,20,40,0.5,0.118,9,23,0.391,2025-26,Regular Season
1629632,"White, Coby",5,47,16,7+ Dribbles,0.231,23,45,0.511,0.522,0.195,22,38,0.579,0.036,1,7,0.143,2025-26,Regular Season
1628998,"Martin, Cody",1,4,3,0 Dribbles,0.5,0,5,0.0,0.0,0.1,0,1,0.0,0.4,0,4,0.0,2025-26,Regular Season
1628998,"Martin, Cody",2,4,1,1 Dribble,0.2,1,2,0.5,0.5,0.1,1,1,1.0,0.1,0,1,0.0,2025-26,Regular Season
1628998,"Martin, Cody",3,4,1,2 Dribbles,0.1,0,1,0.0,0.0,0.1,0,1,0.0,0.0,0,0,,2025-26,Regular Season
1628998,"Martin, Cody",4,4,1,3-6 Dribbles,0.1,1,1,1.0,1.0,0.1,1,1,1.0,0.0,0,0,,2025-26,Regular Season
1628998,"Martin, Cody",5,4,1,7+ Dribbles,0.1,0,1,0.0,0.0,0.1,0,1,0.0,0.0,0,0,,2025-26,Regular Season
1642262,"Williams, Cody",1,63,54,0 Dribbles,0.512,112,222,0.505,0.563,0.267,86,116,0.741,0.244,26,106,0.245,2025-26,Regular Season
1642262,"Williams, Cody",2,63,41,1 Dribble,0.159,34,69,0.493,0.493,0.15,34,65,0.523,0.009,0,4,0.0,2025-26,Regular Season
1642262,"Williams, Cody",3,63,29,2 Dribbles,0.094,24,41,0.585,0.585,0.094,24,41,0.585,0.0,0,0,,2025-26,Regular Season
1642262,"Williams, Cody",4,63,34,3-6 Dribbles,0.166,25,72,0.347,0.347,0.159,25,69,0.362,0.007,0,3,0.0,2025-26,Regular Season
