PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,DIST_FEET,DIST_MILES,DIST_MILES_OFF,DIST_MILES_DEF,AVG_SPEED,AVG_SPEED_OFF,AVG_SPEED_DEF,SEASON,SEASON_TYPE,PT_MEASURE_TYPE
1630175,Cole Anthony,1610612749,MIL,35,12,23,527.0,208230,39.4,21.4,18.1,4.55,4.94,4.19,2025-26,Regular Season,SpeedDistance
1630658,Colin Castleton,1610612753,ORL,1,0,1,10.0,3753,0.7,0.3,0.4,3.75,3.71,3.78,2025-26,Regular Season,SpeedDistance
1631221,Collin Gillespie,1610612756,PHX,76,41,35,2191.0,917299,173.7,93.6,80.2,4.61,4.92,4.31,2025-26,Regular Season,SpeedDistance
1642867,Collin Murray-Boyles,1610612761,TOR,53,28,25,1164.0,473435,89.7,45.2,44.5,4.45,4.68,4.24,2025-26,Regular Season,SpeedDistance
1629012,Collin Sexton,1610612741,CHI,63,23,40,1463.0,581921,110.2,59.9,50.3,4.38,4.72,4.02,2025-26,Regular Season,SpeedDistance
1642843,Cooper Flagg,1610612742,DAL,65,20,45,2197.0,856389,162.2,90.3,71.9,4.33,4.77,3.88,2025-26,Regular Season,SpeedDistance
1630557,Corey Kispert,1610612737,ATL,55,26,29,1035.0,434546,82.3,44.7,37.6,4.66,5.23,4.13,2025-26,Regular Season,SpeedDistance
1642504,Cormac Ryan,1610612749,MIL,6,0,6,111.0,43282,8.2,4.3,3.9,4.13,4.58,3.73,2025-26,Regular Season,SpeedDistance
1641854,Craig Porter Jr.,1610612739,CLE,60,40,20,1054.0,437947,82.9,42.1,40.8,4.57,4.8,4.35,2025-26,Regular Season,SpeedDistance
1642938,Curtis Jones,1610612743,DEN,7,5,2,33.0,14028,2.7,1.5,1.2,4.72,5.11,4.31,2025-26,Regular Season,SpeedDistance
1626156,D'Angelo Russell,1610612764,WAS,26,9,17,495.0,185610,35.2,19.2,16.0,4.37,4.82,3.92,2025-26,Regular Season,SpeedDistance
1629610,DaQuan Jeffries,1610612758,SAC,3,0,3,60.0,24094,4.6,2.4,2.1,4.28,4.42,3.94,2025-26,Regular Season,SpeedDistance
