CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,D_FGM,D_FGA,D_FG_PCT,NORMAL_FG_PCT,PCT_PLUSMINUS,SEASON,SEASON_TYPE,DEFENSE_CATEGORY
202696,Nikola Vučević,1610612738,BOS,C,35.0,59,59,1.0,470,961,0.489,0.495,-0.006,2025-26,Regular Season,Overall
1631157,Ryan Rollins,1610612749,MIL,G,23.0,72,72,1.0,430,948,0.454,0.46,-0.007,2025-26,Regular Season,Overall
1642263,Reed Sheppard,1610612745,HOU,G,21.0,77,77,1.0,444,945,0.47,0.459,0.01,2025-26,Regular Season,Overall
1629674,Neemias Queta,1610612738,BOS,C,26.0,71,71,1.0,415,945,0.439,0.489,-0.05,2025-26,Regular Season,Overall
1628436,Luke Kornet,1610612759,SAS,C-F,30.0,64,64,1.0,427,940,0.454,0.496,-0.042,2025-26,Regular Season,Overall
1629028,Deandre Ayton,1610612747,LAL,C,27.0,67,67,1.0,457,940,0.486,0.483,0.003,2025-26,Regular Season,Overall
1628976,Wendell Carter Jr.,1610612753,ORL,C-F,26.0,73,73,1.0,435,939,0.463,0.492,-0.029,2025-26,Regular Season,Overall
1629638,Nickeil Alexander-Walker,1610612737,ATL,G,27.0,75,75,1.0,483,936,0.516,0.463,0.053,2025-26,Regular Season,Overall
1631217,Moussa Diabaté,1610612766,CHA,F,24.0,69,69,1.0,459,936,0.49,0.485,0.005,2025-26,Regular Season,Overall
1631094,Paolo Banchero,1610612753,ORL,F,23.0,67,67,1.0,450,927,0.485,0.476,0.01,2025-26,Regular Season,Overall
1631096,Chet Holmgren,1610612760,OKC,C-F,23.0,66,66,1.0,382,923,0.414,0.484,-0.07,2025-26,Regular Season,Overall
1630530,Trey Murphy III,1610612740,NOP,F,25.0,66,66,1.0,465,918,0.507,0.473,0.034,2025-26,Regular Season,Overall
1628969,Mikal Bridges,1610612752,NYK,G-F,29.0,77,77,1.0,411,900,0.457,0.47,-0.014,2025-26,Regular Season,Overall
1628973,Jalen Brunson,1610612752,NYK,G,29.0,69,69,1.0,431,896,0.481,0.464,0.017,2025-26,Regular Season,Overall
