CLOSE_DEF_PERSON_ID,PLAYER_NAME,PLAYER_LAST_TEAM_ID,PLAYER_LAST_TEAM_ABBREVIATION,PLAYER_POSITION,AGE,GP,G,FREQ,FG3M,FG3A,FG3_PCT,NS_FG3_PCT,PLUSMINUS,SEASON,SEASON_TYPE,DEFENSE_CATEGORY
1631207,Dalen Terry,1610612755,PHI,F,23.0,40,32,0.36,30,80,0.375,0.356,0.019,2025-26,Regular Season,3 Pointers
1641989,Elijah Harkless,1610612762,UTA,G,26.0,24,23,0.372,28,80,0.35,0.361,-0.011,2025-26,Regular Season,3 Pointers
1630574,Ariel Hukporti,1610612752,NYK,C,23.0,48,37,0.335,23,77,0.299,0.343,-0.045,2025-26,Regular Season,3 Pointers
1630703,Scoot Henderson,1610612757,POR,G,22.0,26,24,0.342,37,77,0.481,0.37,0.11,2025-26,Regular Season,3 Pointers
1630536,Sharife Cooper,1610612764,WAS,G,24.0,33,27,0.382,30,76,0.395,0.366,0.029,2025-26,Regular Season,3 Pointers
1628467,Maxi Kleber,1610612747,LAL,F,34.0,35,27,0.325,31,75,0.413,0.361,0.052,2025-26,Regular Season,3 Pointers
1630619,Moussa Cisse,1610612742,DAL,C,23.0,33,26,0.311,20,75,0.267,0.364,-0.097,2025-26,Regular Season,3 Pointers
1630679,Ethan Thompson,1610612754,IND,G,26.0,24,21,0.43,25,74,0.338,0.362,-0.024,2025-26,Regular Season,3 Pointers
1641724,Jett Howard,1610612753,ORL,G,22.0,51,36,0.347,29,74,0.392,0.36,0.032,2025-26,Regular Season,3 Pointers
1642854,Asa Newell,1610612737,ATL,F,20.0,37,29,0.358,27,73,0.37,0.353,0.017,2025-26,Regular Season,3 Pointers
1631218,Trayce Jackson-Davis,1610612761,TOR,F,26.0,45,30,0.267,23,72,0.319,0.347,-0.027,2025-26,Regular Season,3 Pointers
1642905,Yang Hansen,1610612757,POR,C,20.0,40,26,0.355,25,72,0.347,0.354,-0.007,2025-26,Regular Season,3 Pointers
1631123,Jamaree Bouyea,1610612756,PHX,G,26.0,38,26,0.353,24,71,0.338,0.364,-0.026,2025-26,Regular Season,3 Pointers
1631288,Jamal Cain,1610612753,ORL,F,27.0,30,27,0.383,23,70,0.329,0.373,-0.044,2025-26,Regular Season,3 Pointers
1628396,Tony Bradley,1610612754,IND,C-F,28.0,32,26,0.399,28,69,0.406,0.358,0.048,2025-26,Regular Season,3 Pointers
1642942,Jahmai Mashack,1610612763,MEM,G,23.0,24,22,0.305,22,69,0.319,0.334,-0.015,2025-26,Regular Season,3 Pointers
203992,Bogdan Bogdanović,1610612746,LAC,G,33.0,20,19,0.37,28,68,0.412,0.365,0.047,2025-26,Regular Season,3 Pointers
1629021,Moritz Wagner,1610612753,ORL,F-C,28.0,33,28,0.376,33,68,0.485,0.358,0.127,2025-26,Regular Season,3 Pointers
1627734,Domantas Sabonis,1610612758,SAC,F-C,29.0,19,19,0.239,29,68,0.426,0.364,0.063,2025-26,Regular Season,3 Pointers
1642261,Dalton Knecht,1610612747,LAL,F,24.0,41,28,0.36,26,67,0.388,0.365,0.023,2025-26,Regular Season,3 Pointers
1629660,Ty Jerome,1610612763,MEM,G-F,28.0,15,15,0.466,21,62,0.339,0.355,-0.016,2025-26,Regular Season,3 Pointers
1626172,Kevon Looney,1610612740,NOP,F,30.0,19,16,0.434,20,62,0.323,0.353,-0.031,2025-26,Regular Season,3 Pointers
1641763,Julian Phillips,1610612750,MIN,F,22.0,34,25,0.488,22,61,0.361,0.36,0.001,2025-26,Regular Season,3 Pointers
1642878,Tyrese Proctor,1610612739,CLE,G,22.0,40,30,0.37,21,60,0.35,0.344,0.006,2025-26,Regular Season,3 Pointers
1630526,Jeremiah Robinson-Earl,1610612742,DAL,F,25.0,21,19,0.417,25,60,0.417,0.352,0.065,2025-26,Regular Season,3 Pointers
1642863,Khaman Maluach,1610612756,PHX,C,19.0,39,28,0.337,20,60,0.333,0.364,-0.031,2025-26,Regular Season,3 Pointers
