GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS_RANK,TEAM_COUNT,SEASON,SEASON_TYPE,MEASURE_TYPE
Players,1630700,Dyson Daniels,Dyson,1610612737,ATL,23.0,32,16,16,0.5,3.8,0.1,0.3,0.1,0.9,1.6,1.2,1.1,3.9,0.0,0.1,0.4,0.3,3.2,29,49,437,213,58,239,67,143,64,421,365,458,48,184,353,357,167,100,1,2025-26,Regular Season,Misc
Players,1630604,E.J. Liddell,E.J.,1610612751,BKN,25.0,5,1,4,0.2,2.2,0.0,0.2,0.0,0.4,0.2,0.6,0.0,0.4,0.2,0.0,0.8,0.2,3.1,350,383,151,420,296,247,137,183,187,95,173,1,428,26,1,466,236,116,1,2025-26,Regular Season,Misc
Players,1642856,Egor Dëmin,Egor,1610612751,BKN,20.0,16,3,13,0.188,2.5,0.4,0.4,0.1,0.0,1.0,1.6,0.4,2.5,0.0,0.1,0.3,0.2,1.7,193,308,397,427,255,61,47,167,321,290,449,258,205,188,422,282,245,270,1,2025-26,Regular Season,Misc
Players,1641989,Elijah Harkless,Elijah,1610612762,UTA,26.0,8,2,6,0.25,2.7,0.0,0.0,0.0,0.0,2.9,1.8,0.5,2.0,0.0,0.0,0.9,0.4,1.3,300,346,225,402,211,247,244,183,321,478,457,286,266,188,1,468,116,314,1,2025-26,Regular Season,Misc
Players,1630679,Ethan Thompson,Ethan,1610612754,IND,26.0,5,1,4,0.2,1.1,0.0,0.0,0.0,0.0,0.2,0.4,0.0,0.4,0.0,0.0,0.2,0.2,1.1,350,383,151,420,410,247,244,183,321,95,128,1,428,188,1,169,236,345,1,2025-26,Regular Season,Misc
Players,1630596,Evan Mobley,Evan,1610612739,CLE,24.0,34,19,15,0.559,2.8,0.1,0.4,0.1,0.6,1.1,0.8,0.6,2.6,0.2,0.0,0.3,0.5,3.7,22,15,424,165,199,184,37,170,120,347,233,354,187,38,1,233,87,66,1,2025-26,Regular Season,Misc
Players,1630532,Franz Wagner,Franz,1610612753,ORL,24.0,15,9,6,0.6,4.2,0.2,0.4,0.3,1.2,0.7,0.7,0.9,3.6,0.0,0.1,0.5,0.7,4.5,211,151,225,116,32,139,38,28,29,198,224,420,64,188,431,380,38,45,1,2025-26,Regular Season,Misc
Players,1641713,GG Jackson,GG,1610612763,MEM,21.0,11,4,7,0.364,2.3,0.2,0.2,0.2,0.5,1.3,0.9,0.5,2.7,0.0,0.0,0.1,0.1,1.3,265,279,251,353,286,155,151,78,141,375,282,318,169,188,1,119,304,318,1,2025-26,Regular Season,Misc
Players,1629216,Gabe Vincent,Gabe,1610612737,ATL,29.0,3,2,1,0.667,0.6,0.0,0.0,0.0,0.0,0.7,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,390,346,36,72,444,247,244,183,321,198,1,441,436,188,1,1,337,427,1,2025-26,Regular Season,Misc
Players,1629726,Garrison Mathews,Garrison,1610612754,IND,29.0,2,0,2,0.0,1.2,0.0,0.0,0.0,0.0,0.0,1.5,0.0,3.0,0.0,0.0,0.5,0.0,0.0,412,438,86,438,401,247,244,183,321,1,429,1,118,188,1,388,337,427,1,2025-26,Regular Season,Misc
Players,203914,Gary Harris,Gary,1610612749,MIL,31.0,5,3,2,0.6,0.6,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.8,0.0,0.0,0.2,0.0,0.3,350,308,86,116,442,247,244,183,321,1,173,1,402,188,1,169,337,415,1,2025-26,Regular Season,Misc
Players,1627780,Gary Payton II,Gary,1610612744,GSW,33.0,24,12,12,0.5,1.9,0.3,0.0,0.0,0.8,0.4,0.5,0.5,1.5,0.0,0.0,0.2,0.0,1.7,105,103,373,213,328,109,244,183,91,138,140,276,345,188,1,184,337,272,1,2025-26,Regular Season,Misc
Players,1629018,Gary Trent Jr.,Gary,1610612749,MIL,27.0,14,7,7,0.5,3.3,0.0,0.0,0.0,0.0,1.1,1.3,0.9,2.6,0.0,0.1,0.5,0.2,1.2,217,204,251,213,126,247,244,183,321,344,400,431,196,188,436,388,228,321,1,2025-26,Regular Season,Misc
Players,203507,Giannis Antetokounmpo,Giannis,1610612749,MIL,31.0,20,11,9,0.55,3.5,0.4,0.3,0.2,1.6,1.3,1.4,0.7,2.5,0.1,0.2,0.5,1.0,5.4,147,115,303,173,87,50,100,71,13,381,417,379,205,83,447,369,12,23,1,2025-26,Regular Season,Misc
Players,1629048,Goga Bitadze,Goga,1610612753,ORL,26.0,14,8,6,0.571,0.9,0.0,0.1,0.0,0.1,0.2,0.0,0.0,0.9,0.0,0.1,0.1,0.1,0.4,217,180,225,153,426,247,185,183,292,99,1,1,399,188,365,106,318,409,1,2025-26,Regular Season,Misc
Players,1641711,Gradey Dick,Gradey,1610612761,TOR,22.0,4,3,1,0.75,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,371,308,36,43,378,247,244,183,321,1,1,1,421,188,1,1,337,362,1,2025-26,Regular Season,Misc
Players,1641761,Grant Nelson,Grant,1610612751,BKN,24.0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,442,438,36,438,475,247,244,183,321,1,1,1,436,188,1,470,337,427,1,2025-26,Regular Season,Misc
