PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,POINTS,DRIVE_PTS,DRIVE_FG_PCT,CATCH_SHOOT_PTS,CATCH_SHOOT_FG_PCT,PULL_UP_PTS,PULL_UP_FG_PCT,PAINT_TOUCH_PTS,PAINT_TOUCH_FG_PCT,POST_TOUCH_PTS,POST_TOUCH_FG_PCT,ELBOW_TOUCH_PTS,ELBOW_TOUCH_FG_PCT,EFF_FG_PCT,SEASON,SEASON_TYPE,PT_MEASURE_TYPE
1642267,Bub Carrington,1610612764,WAS,76,17,59,2100.0,778,127,0.406,209,0.387,428,0.447,18,0.571,4,0.4,6,0.75,0.529,2025-26,Regular Season,Efficiency
1631205,Buddy Boeheim,1610612760,OKC,4,2,2,15.0,6,0,0.0,6,0.5,0,0.0,0,0.0,0,0.0,0,0.0,0.5,2025-26,Regular Season,Efficiency
1627741,Buddy Hield,1610612737,ATL,50,25,25,798.0,359,51,0.629,162,0.365,51,0.247,40,0.667,0,0.0,26,0.857,0.532,2025-26,Regular Season,Efficiency
1643047,CJ Huntley,1610612756,PHX,2,2,0,7.0,2,0,0.0,0,0.0,0,0.0,2,1.0,0,0.0,0,0.0,0.5,2025-26,Regular Season,Efficiency
203468,CJ McCollum,1610612737,ATL,73,36,37,2173.0,1366,445,0.511,280,0.381,548,0.43,32,0.813,2,0.5,31,0.733,0.537,2025-26,Regular Season,Efficiency
1630595,Cade Cunningham,1610612765,DET,61,44,17,2096.0,1497,603,0.498,146,0.347,463,0.415,70,0.556,43,0.541,41,0.654,0.515,2025-26,Regular Season,Efficiency
1631216,Caleb Houstan,1610612737,ATL,18,12,6,75.0,42,0,0.0,35,0.6,0,0.0,2,0.5,0,0.0,2,0.5,0.75,2025-26,Regular Season,Efficiency
1631126,Caleb Love,1610612757,POR,47,23,24,1009.0,509,132,0.491,210,0.35,117,0.329,12,0.833,0,0.0,10,0.833,0.484,2025-26,Regular Season,Efficiency
1628997,Caleb Martin,1610612742,DAL,58,20,38,856.0,227,63,0.404,67,0.353,17,0.258,10,0.625,0,0.0,3,0.25,0.503,2025-26,Regular Season,Efficiency
1642353,Cam Christie,1610612746,LAC,51,24,27,461.0,152,53,0.39,33,0.289,17,0.296,23,0.5,0,0.0,4,1.0,0.432,2025-26,Regular Season,Efficiency
1642285,Cam Spencer,1610612763,MEM,71,23,48,1694.0,789,161,0.492,222,0.467,360,0.46,27,0.667,0,0.0,10,0.625,0.603,2025-26,Regular Season,Efficiency
1630560,Cam Thomas,1610612749,MIL,42,12,30,881.0,567,244,0.47,65,0.349,225,0.373,14,0.6,10,0.6,7,0.5,0.466,2025-26,Regular Season,Efficiency
1641715,Cam Whitmore,1610612764,WAS,21,3,18,354.0,193,27,0.375,18,0.375,38,0.259,48,0.611,4,1.0,10,0.5,0.503,2025-26,Regular Season,Efficiency
1629661,Cameron Johnson,1610612743,DEN,51,34,17,1541.0,608,74,0.377,262,0.417,81,0.386,46,0.815,0,0.0,22,0.667,0.586,2025-26,Regular Season,Efficiency
1626166,Cameron Payne,1610612755,PHI,21,12,9,366.0,161,50,0.429,42,0.333,72,0.386,2,0.5,0,0.0,0,0.0,0.486,2025-26,Regular Season,Efficiency
1627747,Caris LeVert,1610612765,DET,56,40,16,1085.0,417,109,0.425,110,0.346,109,0.355,29,0.647,0,0.0,12,0.625,0.495,2025-26,Regular Season,Efficiency
1642868,Carter Bryant,1610612759,SAS,66,53,13,720.0,251,22,0.32,120,0.32,14,0.261,46,0.75,0,0.0,6,0.429,0.475,2025-26,Regular Season,Efficiency
1641717,Cason Wallace,1610612760,OKC,74,58,16,1980.0,636,140,0.39,245,0.35,68,0.342,56,0.675,2,1.0,18,0.8,0.517,2025-26,Regular Season,Efficiency
1642907,Cedric Coward,1610612763,MEM,60,20,40,1559.0,804,207,0.473,205,0.335,126,0.364,129,0.732,13,0.8,25,0.615,0.534,2025-26,Regular Season,Efficiency
1643052,Chaney Johnson,1610612751,BKN,14,2,12,282.0,109,25,0.714,15,0.238,16,0.7,32,0.75,0,0.0,12,0.5,0.604,2025-26,Regular Season,Efficiency
1629646,Charles Bassey,1610612738,BOS,8,3,5,52.0,23,0,0.0,0,0.0,0,0.0,21,0.692,0,0.0,1,0.0,0.625,2025-26,Regular Season,Efficiency
1642404,Chaz Lanier,1610612765,DET,29,24,5,230.0,73,4,0.333,58,0.351,8,0.25,0,0.0,0,0.0,2,1.0,0.442,2025-26,Regular Season,Efficiency
1631096,Chet Holmgren,1610612760,OKC,66,53,13,1922.0,1115,209,0.504,236,0.366,129,0.438,408,0.748,55,0.636,74,0.564,0.604,2025-26,Regular Season,Efficiency
1628449,Chris Boucher,1610612738,BOS,9,4,5,94.0,21,0,0.0,6,0.143,0,0.0,8,0.8,0,0.0,2,1.0,0.36,2025-26,Regular Season,Efficiency
1641753,Chris Livingston,1610612739,CLE,3,2,1,17.0,9,4,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.571,2025-26,Regular Season,Efficiency
1643024,Chris Mañon,1610612747,LAL,6,2,4,25.0,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,2025-26,Regular Season,Efficiency
101108,Chris Paul,1610612746,LAC,16,4,12,228.0,47,12,0.375,9,0.273,29,0.289,0,0.0,0,0.0,0,0.0,0.411,2025-26,Regular Season,Efficiency
1642959,Chris Youngblood,1610612757,POR,33,28,5,183.0,71,2,0.0,51,0.34,5,0.286,4,1.0,0,0.0,3,1.0,0.492,2025-26,Regular Season,Efficiency
1631128,Christian Braun,1610612743,DEN,41,26,15,1294.0,483,31,0.48,106,0.316,20,0.242,143,0.682,1,0.0,52,0.594,0.57,2025-26,Regular Season,Efficiency
1631132,Christian Koloko,1610612737,ATL,26,16,10,335.0,69,0,0.0,7,0.2,2,1.0,51,0.523,0,0.0,3,0.167,0.442,2025-26,Regular Season,Efficiency
1642935,Chucky Hepburn,1610612761,TOR,2,0,2,13.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,2025-26,Regular Season,Efficiency
203991,Clint Capela,1610612745,HOU,70,43,27,868.0,252,11,0.385,0,0.0,0,0.0,209,0.538,4,0.667,38,0.56,0.512,2025-26,Regular Season,Efficiency
1629632,Coby White,1610612766,CHA,47,27,20,1198.0,821,294,0.523,213,0.407,174,0.333,13,0.833,0,0.0,7,0.5,0.534,2025-26,Regular Season,Efficiency
1628998,Cody Martin,1610612754,IND,4,0,4,55.0,7,2,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.2,2025-26,Regular Season,Efficiency
1642262,Cody Williams,1610612762,UTA,63,15,48,1487.0,533,133,0.456,80,0.245,64,0.41,107,0.714,0,0.0,43,0.594,0.509,2025-26,Regular Season,Efficiency
1641732,Colby Jones,1610612765,DET,1,0,1,7.0,2,2,1.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0.333,2025-26,Regular Season,Efficiency
1630175,Cole Anthony,1610612749,MIL,35,12,23,527.0,234,122,0.487,42,0.318,90,0.41,6,0.5,0,0.0,0,0.0,0.472,2025-26,Regular Season,Efficiency
1630658,Colin Castleton,1610612753,ORL,1,0,1,10.0,2,0,0.0,0,0.0,0,0.0,2,0.5,0,0.0,0,0.0,0.333,2025-26,Regular Season,Efficiency
1631221,Collin Gillespie,1610612756,PHX,76,41,35,2191.0,985,168,0.451,395,0.473,417,0.382,19,0.643,0,0.0,11,0.8,0.562,2025-26,Regular Season,Efficiency
1642867,Collin Murray-Boyles,1610612761,TOR,53,28,25,1164.0,447,37,0.542,56,0.317,5,0.286,225,0.61,12,0.75,59,0.658,0.598,2025-26,Regular Season,Efficiency
