GROUP_SET,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT,SEASON,SEASON_TYPE,MEASURE_TYPE
Players,1629632,Coby White,Coby,1610612766,CHA,26.0,16,10,6,0.625,3.9,1.1,2.4,0.447,0.4,0.9,0.429,1.3,1.6,0.8,0.1,0.3,0.4,0.6,0.5,0.1,0.0,0.3,0.6,1.1,3.8,1.3,4.8,0,0,5.3,193,132,235,100,57,18,19,178,23,34,76,12,10,146,249,221,249,29,9,201,188,12,41,6,13,96,34,205,24,23,1,2025-26,Regular Season,Base
Players,1642262,Cody Williams,Cody,1610612762,UTA,21.0,14,3,11,0.214,2.2,0.2,0.8,0.273,0.0,0.3,0.0,0.3,0.3,1.0,0.0,0.0,0.0,0.2,0.1,0.0,0.0,0.1,0.6,0.2,0.7,-0.7,1.0,1,0,0.9,217,308,113,418,297,273,197,319,247,218,247,165,202,1,289,366,385,167,253,254,188,111,50,228,267,314,364,141,24,361,1,2025-26,Regular Season,Base
Players,1630175,Cole Anthony,Cole,1610612749,MIL,25.0,3,3,0,1.0,1.9,1.0,1.3,0.75,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.0,1.0,0.0,2.0,4.7,3.2,0,0,3.0,390,308,450,1,333,21,86,37,247,192,247,303,317,303,289,366,385,99,36,14,188,200,5,337,66,16,107,205,24,107,1,2025-26,Regular Season,Base
Players,1631221,Collin Gillespie,Collin,1610612756,PHX,26.0,29,13,16,0.448,3.0,0.3,1.0,0.345,0.2,0.6,0.294,0.1,0.1,1.0,0.0,0.2,0.3,0.3,0.1,0.1,0.0,0.1,0.2,0.2,1.0,0.0,2.0,2,0,1.9,49,91,34,288,169,188,130,272,114,96,162,252,283,1,284,268,298,125,208,138,188,121,302,235,197,234,243,110,24,231,1,2025-26,Regular Season,Base
Players,1642867,Collin Murray-Boyles,Collin,1610612761,TOR,20.0,13,7,6,0.538,3.1,0.2,0.7,0.333,0.0,0.2,0.0,0.3,0.5,0.571,0.6,0.4,1.0,0.1,0.2,0.2,0.1,0.3,0.3,0.3,0.8,-0.5,2.6,2,0,2.3,234,204,235,184,154,263,225,273,247,288,247,155,119,253,10,174,25,308,132,74,113,6,204,148,254,285,157,110,24,181,1,2025-26,Regular Season,Base
Players,1629012,Collin Sexton,Collin,1610612741,CHI,27.0,18,5,13,0.278,2.4,0.3,0.8,0.357,0.2,0.3,0.5,0.2,0.3,0.8,0.1,0.0,0.1,0.1,0.2,0.1,0.0,0.1,0.3,0.3,0.9,0.2,1.2,0,0,1.4,172,256,75,398,275,237,199,264,118,192,42,196,214,146,172,366,368,263,79,211,188,66,181,168,221,195,332,205,24,293,2,2025-26,Regular Season,Base
Players,1642843,Cooper Flagg,Cooper,1610612742,DAL,19.0,38,15,23,0.395,4.0,0.7,1.7,0.444,0.1,0.3,0.3,0.8,0.9,0.833,0.2,0.8,1.0,0.5,0.2,0.1,0.1,0.1,0.3,0.7,2.3,-0.8,4.7,6,0,4.4,7,63,5,338,48,58,58,180,205,230,156,35,42,119,80,30,25,66,77,136,60,73,180,44,48,323,38,43,24,42,1,2025-26,Regular Season,Base
Players,1630557,Corey Kispert,Corey,1610612737,ATL,27.0,6,1,5,0.167,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.0,-2.2,0.5,0,0,0.3,334,383,261,429,397,356,406,356,247,338,247,303,317,303,289,305,348,211,289,254,188,200,332,337,379,433,405,205,24,406,2,2025-26,Regular Season,Base
Players,1642504,Cormac Ryan,Cormac,1610612749,MIL,27.0,1,0,1,0.0,1.5,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,-6.0,0.0,0,0,0.0,442,438,400,438,366,356,130,356,247,19,247,303,317,303,289,366,385,334,289,254,188,200,2,337,379,479,427,205,24,429,1,2025-26,Regular Season,Base
Players,1641854,Craig Porter Jr.,Craig,1610612739,CLE,26.0,5,3,2,0.6,1.9,0.0,0.8,0.0,0.0,0.2,0.0,0.4,0.8,0.5,0.2,0.4,0.6,0.2,0.0,0.2,0.0,0.2,0.2,0.6,0.4,-0.8,2.0,0,0,1.6,350,308,363,116,334,356,193,356,247,265,247,118,59,258,93,165,135,179,289,38,188,18,304,54,325,324,232,205,24,271,1,2025-26,Regular Season,Base
