PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,CLOSE_DEF_DIST_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT,SEASON,SEASON_TYPE
1642259,"Sarr, Alex",3,48,40,4-6 Feet - Open,0.143,34,93,0.366,0.441,0.082,20,53,0.377,0.062,14,40,0.35,2025-26,Regular Season
1642259,"Sarr, Alex",4,48,40,6+ Feet - Wide Open,0.177,33,115,0.287,0.426,0.017,1,11,0.091,0.16,32,104,0.308,2025-26,Regular Season
1642918,"Martin, Alijah",2,20,2,2-4 Feet - Tight,0.071,1,3,0.333,0.333,0.048,1,2,0.5,0.024,0,1,0.0,2025-26,Regular Season
1642918,"Martin, Alijah",3,20,6,4-6 Feet - Open,0.167,1,7,0.143,0.143,0.119,1,5,0.2,0.048,0,2,0.0,2025-26,Regular Season
1642918,"Martin, Alijah",4,20,8,6+ Feet - Wide Open,0.381,4,16,0.25,0.375,0.0,0,0,,0.381,4,16,0.25,2025-26,Regular Season
1631214,"Williams, Alondes",2,4,3,2-4 Feet - Tight,0.154,1,4,0.25,0.375,0.038,0,1,0.0,0.115,1,3,0.333,2025-26,Regular Season
1631214,"Williams, Alondes",3,4,4,4-6 Feet - Open,0.346,3,9,0.333,0.5,0.0,0,0,,0.346,3,9,0.333,2025-26,Regular Season
1631214,"Williams, Alondes",4,4,1,6+ Feet - Wide Open,0.077,1,2,0.5,0.75,0.0,0,0,,0.077,1,2,0.5,2025-26,Regular Season
1630578,"Sengun, Alperen",1,68,2,0-2 Feet - Very Tight,0.002,1,2,0.5,0.5,0.001,1,1,1.0,0.001,0,1,0.0,2025-26,Regular Season
1630578,"Sengun, Alperen",2,68,40,2-4 Feet - Tight,0.073,19,76,0.25,0.25,0.07,19,72,0.264,0.004,0,4,0.0,2025-26,Regular Season
1630578,"Sengun, Alperen",3,68,56,4-6 Feet - Open,0.138,64,143,0.448,0.486,0.113,53,117,0.453,0.025,11,26,0.423,2025-26,Regular Season
1630578,"Sengun, Alperen",4,68,48,6+ Feet - Wide Open,0.103,34,107,0.318,0.449,0.018,6,19,0.316,0.085,28,88,0.318,2025-26,Regular Season
1642873,"Williams, Amari",3,21,1,4-6 Feet - Open,0.053,0,1,0.0,0.0,0.053,0,1,0.0,0.0,0,0,,2025-26,Regular Season
1641708,"Thompson, Amen",1,75,1,0-2 Feet - Very Tight,0.002,1,2,0.5,0.5,0.002,1,2,0.5,0.0,0,0,,2025-26,Regular Season
1641708,"Thompson, Amen",2,75,38,2-4 Feet - Tight,0.048,15,46,0.326,0.337,0.044,14,42,0.333,0.004,1,4,0.25,2025-26,Regular Season
1641708,"Thompson, Amen",3,75,60,4-6 Feet - Open,0.111,36,106,0.34,0.358,0.089,32,85,0.376,0.022,4,21,0.19,2025-26,Regular Season
1641708,"Thompson, Amen",4,75,57,6+ Feet - Wide Open,0.125,25,119,0.21,0.29,0.036,6,34,0.176,0.089,19,85,0.224,2025-26,Regular Season
1629599,"Coffey, Amir",2,43,3,2-4 Feet - Tight,0.081,1,3,0.333,0.333,0.081,1,3,0.333,0.0,0,0,,2025-26,Regular Season
1629599,"Coffey, Amir",3,43,6,4-6 Feet - Open,0.351,6,13,0.462,0.538,0.189,4,7,0.571,0.162,2,6,0.333,2025-26,Regular Season
1629599,"Coffey, Amir",4,43,7,6+ Feet - Wide Open,0.27,4,10,0.4,0.6,0.0,0,0,,0.27,4,10,0.4,2025-26,Regular Season
1643158,"Garcia, Andersson",2,5,1,2-4 Feet - Tight,0.034,0,1,0.0,0.0,0.0,0,0,,0.034,0,1,0.0,2025-26,Regular Season
1643158,"Garcia, Andersson",3,5,4,4-6 Feet - Open,0.207,0,6,0.0,0.0,0.0,0,0,,0.207,0,6,0.0,2025-26,Regular Season
1643158,"Garcia, Andersson",4,5,3,6+ Feet - Wide Open,0.207,1,6,0.167,0.25,0.0,0,0,,0.207,1,6,0.167,2025-26,Regular Season
203083,"Drummond, Andre",2,58,2,2-4 Feet - Tight,0.007,0,2,0.0,0.0,0.003,0,1,0.0,0.003,0,1,0.0,2025-26,Regular Season
203083,"Drummond, Andre",3,58,11,4-6 Feet - Open,0.039,4,12,0.333,0.5,0.007,0,2,0.0,0.033,4,10,0.4,2025-26,Regular Season
