PLAYER_ID,PLAYER_NAME_LAST_FIRST,SORT_ORDER,GP,G,TOUCH_TIME_RANGE,FGA_FREQUENCY,FGM,FGA,FG_PCT,EFG_PCT,FG2A_FREQUENCY,FG2M,FG2A,FG2_PCT,FG3A_FREQUENCY,FG3M,FG3A,FG3_PCT,SEASON,SEASON_TYPE
1642918,"Martin, Alijah",1,20,7,Touch < 2 Seconds,0.524,9,22,0.409,0.5,0.167,5,7,0.714,0.357,4,15,0.267,2025-26,Regular Season
1642918,"Martin, Alijah",2,20,7,Touch 2-6 Seconds,0.333,5,14,0.357,0.357,0.262,5,11,0.455,0.071,0,3,0.0,2025-26,Regular Season
1642918,"Martin, Alijah",3,20,4,Touch 6+ Seconds,0.143,1,6,0.167,0.167,0.119,1,5,0.2,0.024,0,1,0.0,2025-26,Regular Season
1631214,"Williams, Alondes",1,4,4,Touch < 2 Seconds,0.808,12,21,0.571,0.69,0.308,7,8,0.875,0.5,5,13,0.385,2025-26,Regular Season
1631214,"Williams, Alondes",2,4,2,Touch 2-6 Seconds,0.154,3,4,0.75,0.75,0.115,3,3,1.0,0.038,0,1,0.0,2025-26,Regular Season
1631214,"Williams, Alondes",3,4,1,Touch 6+ Seconds,0.038,1,1,1.0,1.0,0.038,1,1,1.0,0.0,0,0,,2025-26,Regular Season
1630578,"Sengun, Alperen",1,68,66,Touch < 2 Seconds,0.357,197,370,0.532,0.573,0.265,167,274,0.609,0.093,30,96,0.313,2025-26,Regular Season
1630578,"Sengun, Alperen",2,68,66,Touch 2-6 Seconds,0.407,221,421,0.525,0.532,0.39,215,404,0.532,0.016,6,17,0.353,2025-26,Regular Season
1630578,"Sengun, Alperen",3,68,64,Touch 6+ Seconds,0.236,122,244,0.5,0.506,0.23,119,238,0.5,0.006,3,6,0.5,2025-26,Regular Season
1642873,"Williams, Amari",1,21,8,Touch < 2 Seconds,0.842,8,16,0.5,0.5,0.842,8,16,0.5,0.0,0,0,,2025-26,Regular Season
1642873,"Williams, Amari",2,21,3,Touch 2-6 Seconds,0.158,1,3,0.333,0.333,0.158,1,3,0.333,0.0,0,0,,2025-26,Regular Season
1641708,"Thompson, Amen",1,75,73,Touch < 2 Seconds,0.468,253,447,0.566,0.591,0.365,231,349,0.662,0.103,22,98,0.224,2025-26,Regular Season
1641708,"Thompson, Amen",2,75,71,Touch 2-6 Seconds,0.272,119,260,0.458,0.462,0.261,117,249,0.47,0.012,2,11,0.182,2025-26,Regular Season
1641708,"Thompson, Amen",3,75,70,Touch 6+ Seconds,0.26,127,248,0.512,0.512,0.259,127,247,0.514,0.001,0,1,0.0,2025-26,Regular Season
1629599,"Coffey, Amir",1,43,9,Touch < 2 Seconds,0.514,9,19,0.474,0.632,0.108,3,4,0.75,0.405,6,15,0.4,2025-26,Regular Season
1629599,"Coffey, Amir",2,43,8,Touch 2-6 Seconds,0.486,9,18,0.5,0.5,0.459,9,17,0.529,0.027,0,1,0.0,2025-26,Regular Season
1643158,"Garcia, Andersson",1,5,5,Touch < 2 Seconds,0.724,5,21,0.238,0.262,0.276,4,8,0.5,0.448,1,13,0.077,2025-26,Regular Season
1643158,"Garcia, Andersson",2,5,4,Touch 2-6 Seconds,0.276,4,8,0.5,0.5,0.276,4,8,0.5,0.0,0,0,,2025-26,Regular Season
203083,"Drummond, Andre",1,58,55,Touch < 2 Seconds,0.852,128,260,0.492,0.548,0.59,99,180,0.55,0.262,29,80,0.363,2025-26,Regular Season
203083,"Drummond, Andre",2,58,27,Touch 2-6 Seconds,0.141,15,43,0.349,0.36,0.131,14,40,0.35,0.01,1,3,0.333,2025-26,Regular Season
203083,"Drummond, Andre",3,58,2,Touch 6+ Seconds,0.007,0,2,0.0,0.0,0.007,0,2,0.0,0.0,0,0,,2025-26,Regular Season
1641748,"Jackson Jr., Andre",1,44,26,Touch < 2 Seconds,0.638,20,60,0.333,0.425,0.223,9,21,0.429,0.415,11,39,0.282,2025-26,Regular Season
1641748,"Jackson Jr., Andre",2,44,16,Touch 2-6 Seconds,0.298,9,28,0.321,0.357,0.202,7,19,0.368,0.096,2,9,0.222,2025-26,Regular Season
1641748,"Jackson Jr., Andre",3,44,5,Touch 6+ Seconds,0.064,2,6,0.333,0.417,0.043,1,4,0.25,0.021,1,2,0.5,2025-26,Regular Season
1629614,"Nembhard, Andrew",1,57,56,Touch < 2 Seconds,0.286,87,215,0.405,0.547,0.054,26,41,0.634,0.231,61,174,0.351,2025-26,Regular Season
1629614,"Nembhard, Andrew",2,57,57,Touch 2-6 Seconds,0.469,167,353,0.473,0.521,0.355,133,267,0.498,0.114,34,86,0.395,2025-26,Regular Season
