PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,TOUCHES,POST_TOUCHES,POST_TOUCH_FGM,POST_TOUCH_FGA,POST_TOUCH_FG_PCT,POST_TOUCH_FTM,POST_TOUCH_FTA,POST_TOUCH_FT_PCT,POST_TOUCH_PTS,POST_TOUCH_PTS_PCT,POST_TOUCH_PASSES,POST_TOUCH_PASSES_PCT,POST_TOUCH_AST,POST_TOUCH_AST_PCT,POST_TOUCH_TOV,POST_TOUCH_TOV_PCT,POST_TOUCH_FOULS,POST_TOUCH_FOULS_PCT,SEASON,SEASON_TYPE,PT_MEASURE_TYPE
201572,Brook Lopez,1610612746,LAC,70,38,32,1502.0,1773,88,30,51,0.588,6,8,0.75,69,0.784,28,0.318,8,0.091,2,0.023,4,0.045,2025-26,Regular Season,PostTouch
1642964,Brooks Barnhizer,1610612760,OKC,37,28,9,283.0,303,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1628971,Bruce Brown,1610612743,DEN,77,49,28,1883.0,2839,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1631121,Bryce McGowens,1610612740,NOP,42,14,28,880.0,1147,1,0,1,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1642267,Bub Carrington,1610612764,WAS,76,17,59,2100.0,4475,6,2,5,0.4,0,0,0.0,4,0.667,1,0.167,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1631205,Buddy Boeheim,1610612760,OKC,4,2,2,15.0,12,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1627741,Buddy Hield,1610612737,ATL,50,25,25,798.0,1450,1,0,0,0.0,0,0,0.0,0,0.0,1,1.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1643047,CJ Huntley,1610612756,PHX,2,2,0,7.0,5,0,0,0,0.0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
203468,CJ McCollum,1610612737,ATL,73,36,37,2173.0,4183,3,1,2,0.5,0,0,0.0,2,0.667,1,0.333,0,0.0,0,0.0,0,0.0,2025-26,Regular Season,PostTouch
1630595,Cade Cunningham,1610612765,DET,61,44,17,2096.0,5502,71,20,37,0.541,1,2,0.5,43,0.606,28,0.394,12,0.169,2,0.028,1,0.014,2025-26,Regular Season,PostTouch
