PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,GP,W,L,MIN,POINTS,TOUCHES,FRONT_CT_TOUCHES,TIME_OF_POSS,AVG_SEC_PER_TOUCH,AVG_DRIB_PER_TOUCH,PTS_PER_TOUCH,ELBOW_TOUCHES,POST_TOUCHES,PAINT_TOUCHES,PTS_PER_ELBOW_TOUCH,PTS_PER_POST_TOUCH,PTS_PER_PAINT_TOUCH,SEASON,SEASON_TYPE,PT_MEASURE_TYPE
1642285,Cam Spencer,1610612763,MEM,71,23,48,1694.0,789,3760,1980,223.6,3.57,3.28,0.21,25,0,51,0.4,0.0,0.529,2025-26,Regular Season,Possessions
1630560,Cam Thomas,1610612749,MIL,42,12,30,881.0,567,1721,1010,119.0,4.15,3.69,0.329,12,8,15,0.583,1.25,0.933,2025-26,Regular Season,Possessions
1641715,Cam Whitmore,1610612764,WAS,21,3,18,354.0,193,432,244,19.8,2.75,2.35,0.447,8,2,48,1.25,2.0,1.0,2025-26,Regular Season,Possessions
1629661,Cameron Johnson,1610612743,DEN,51,34,17,1541.0,608,1903,1218,72.5,2.29,1.65,0.319,29,0,50,0.759,0.0,0.92,2025-26,Regular Season,Possessions
1626166,Cameron Payne,1610612755,PHI,21,12,9,366.0,161,872,344,62.5,4.3,3.41,0.185,1,0,3,0.0,0.0,0.667,2025-26,Regular Season,Possessions
1627747,Caris LeVert,1610612765,DET,56,40,16,1085.0,417,1956,1115,119.8,3.68,3.13,0.213,20,1,44,0.6,0.0,0.659,2025-26,Regular Season,Possessions
1642868,Carter Bryant,1610612759,SAS,66,53,13,720.0,251,872,531,28.5,1.96,1.02,0.288,22,0,53,0.273,0.0,0.868,2025-26,Regular Season,Possessions
1641717,Cason Wallace,1610612760,OKC,74,58,16,1980.0,636,2751,1251,155.5,3.39,2.98,0.231,39,2,92,0.462,1.0,0.609,2025-26,Regular Season,Possessions
1642907,Cedric Coward,1610612763,MEM,60,20,40,1559.0,804,3319,1598,149.0,2.69,1.98,0.242,32,12,139,0.781,1.083,0.928,2025-26,Regular Season,Possessions
1643052,Chaney Johnson,1610612751,BKN,14,2,12,282.0,109,412,258,14.2,2.07,1.18,0.265,25,1,41,0.48,0.0,0.78,2025-26,Regular Season,Possessions
1629646,Charles Bassey,1610612738,BOS,8,3,5,52.0,23,58,28,1.1,1.18,0.36,0.397,3,0,20,0.333,0.0,1.05,2025-26,Regular Season,Possessions
1642404,Chaz Lanier,1610612765,DET,29,24,5,230.0,73,221,186,7.1,1.94,1.06,0.33,2,0,2,1.0,0.0,0.0,2025-26,Regular Season,Possessions
1631096,Chet Holmgren,1610612760,OKC,66,53,13,1922.0,1115,2982,1598,109.3,2.2,1.1,0.374,113,65,361,0.655,0.846,1.13,2025-26,Regular Season,Possessions
1628449,Chris Boucher,1610612738,BOS,9,4,5,94.0,21,113,63,3.1,1.66,0.47,0.186,2,0,7,1.0,0.0,1.143,2025-26,Regular Season,Possessions
1641753,Chris Livingston,1610612739,CLE,3,2,1,17.0,9,21,13,0.7,2.08,1.86,0.429,0,0,0,0.0,0.0,0.0,2025-26,Regular Season,Possessions
1643024,Chris Mañon,1610612747,LAL,6,2,4,25.0,2,31,11,1.0,1.99,1.32,0.065,2,0,3,0.0,0.0,0.0,2025-26,Regular Season,Possessions
101108,Chris Paul,1610612746,LAC,16,4,12,228.0,47,510,207,42.1,4.96,4.26,0.092,6,3,4,0.0,0.0,0.0,2025-26,Regular Season,Possessions
1642959,Chris Youngblood,1610612757,POR,33,28,5,183.0,71,183,119,4.9,1.62,0.82,0.388,1,0,3,3.0,0.0,1.333,2025-26,Regular Season,Possessions
1631128,Christian Braun,1610612743,DEN,41,26,15,1294.0,483,1938,1023,80.7,2.5,1.5,0.249,74,1,168,0.703,1.0,0.851,2025-26,Regular Season,Possessions
1631132,Christian Koloko,1610612737,ATL,26,16,10,335.0,69,383,207,8.4,1.32,0.37,0.18,20,1,97,0.15,0.0,0.526,2025-26,Regular Season,Possessions
1642935,Chucky Hepburn,1610612761,TOR,2,0,2,13.0,0,31,12,1.7,3.37,3.58,0.0,0,0,0,0.0,0.0,0.0,2025-26,Regular Season,Possessions
203991,Clint Capela,1610612745,HOU,70,43,27,868.0,252,1090,617,27.6,1.52,0.42,0.231,86,6,278,0.442,0.667,0.752,2025-26,Regular Season,Possessions
1629632,Coby White,1610612766,CHA,47,27,20,1198.0,821,2505,1166,181.6,4.35,3.77,0.328,13,2,18,0.538,0.0,0.722,2025-26,Regular Season,Possessions
1628998,Cody Martin,1610612754,IND,4,0,4,55.0,7,73,33,2.9,2.37,1.88,0.096,1,0,2,0.0,0.0,0.0,2025-26,Regular Season,Possessions
1642262,Cody Williams,1610612762,UTA,63,15,48,1487.0,533,1929,965,79.5,2.47,1.83,0.276,55,0,125,0.782,0.0,0.856,2025-26,Regular Season,Possessions
1641732,Colby Jones,1610612765,DET,1,0,1,7.0,2,11,4,0.5,2.87,2.18,0.182,0,0,0,0.0,0.0,0.0,2025-26,Regular Season,Possessions
1630175,Cole Anthony,1610612749,MIL,35,12,23,527.0,234,1285,445,111.8,5.22,5.01,0.182,2,0,11,0.0,0.0,0.545,2025-26,Regular Season,Possessions
1630658,Colin Castleton,1610612753,ORL,1,0,1,10.0,2,15,7,0.4,1.62,0.53,0.133,1,0,3,0.0,0.0,0.667,2025-26,Regular Season,Possessions
1631221,Collin Gillespie,1610612756,PHX,76,41,35,2191.0,985,4612,2049,295.5,3.84,3.66,0.214,38,0,76,0.289,0.0,0.25,2025-26,Regular Season,Possessions
